DATE,SALES INDEX
 2007-01-01,6
 2007-02-01,2
 2007-03-01,2
 2007-04-01,2
 2007-05-01,1
 2007-06-01,4
 2007-07-01,5
 2007-08-01,3
 2007-09-01,6
 2007-10-01,5
 2007-11-01,15
 2007-12-01,11
 2008-01-01,8
 2008-02-01,7
 2008-03-01,9
 2008-04-01,9
 2008-05-01,9
 2008-06-01,12
 2008-07-01,21
 2008-08-01,19
 2008-09-01,18
 2008-10-01,14
 2008-11-01,16
 2008-12-01,18
 2009-01-01,17
 2009-02-01,15
 2009-03-01,15
 2009-04-01,16
 2009-05-01,16
 2009-06-01,30
 2009-07-01,21
 2009-08-01,22
 2009-09-01,21
 2009-10-01,21
 2009-11-01,22
 2009-12-01,25
 2010-01-01,25
 2010-02-01,25
 2010-03-01,25
 2010-04-01,27
 2010-05-01,27
 2010-06-01,50
 2010-07-01,48
 2010-08-01,43
 2010-09-01,40
 2010-10-01,40
 2010-11-01,35
 2010-12-01,39
 2011-01-01,44
 2011-02-01,41
 2011-03-01,42
 2011-04-01,41
 2011-05-01,43
 2011-06-01,40
 2011-07-01,40
 2011-08-01,44
 2011-09-01,52
 2011-10-01,80
 2011-11-01,49
 2011-12-01,53
 2012-01-01,47
 2012-02-01,42
 2012-03-01,47
 2012-04-01,46
 2012-05-01,44
 2012-06-01,44
 2012-07-01,47
 2012-08-01,48
 2012-09-01,100
 2012-10-01,58
 2012-11-01,49
 2012-12-01,51
 2013-01-01,46
 2013-02-01,46
 2013-03-01,45
 2013-04-01,42
 2013-05-01,45
 2013-06-01,46
 2013-07-01,46
 2013-08-01,48
 2013-09-01,82
 2013-10-01,51
 2013-11-01,47
 2013-12-01,50
 2014-01-01,45
 2014-02-01,44
 2014-03-01,43
 2014-04-01,42
 2014-05-01,43
 2014-06-01,42
 2014-07-01,45
 2014-08-01,48
 2014-09-01,91
 2014-10-01,56
 2014-11-01,48
 2014-12-01,50
 2015-01-01,46
 2015-02-01,43
 2015-03-01,41
 2015-04-01,43
 2015-05-01,44
 2015-06-01,44
 2015-07-01,45
 2015-08-01,44
 2015-09-01,62
 2015-10-01,50
 2015-11-01,47
 2015-12-01,51
 2016-01-01,42
 2016-02-01,42
 2016-03-01,48
 2016-04-01,46
 2016-05-01,40
 2016-06-01,41
 2016-07-01,48
 2016-08-01,49
 2016-09-01,77
 2016-10-01,52
 2016-11-01,49
 2016-12-01,52
 2017-01-01,43
 2017-02-01,40
 2017-03-01,40
 2017-04-01,39
 2017-05-01,38
 2017-06-01,37
 2017-07-01,42
 2017-08-01,43
 2017-09-01,65
 2017-10-01,52
 2017-11-01,56
 2017-12-01,53
 2018-01-01,45
 2018-02-01,40
 2018-03-01,40
 2018-04-01,38
 2018-05-01,36
 2018-06-01,36
 2018-07-01,39
 2018-08-01,41
 2018-09-01,52
 2018-10-01,45
 2018-11-01,47
 2018-12-01,46
 2019-01-01,40
 2019-02-01,37
 2019-03-01,34
 2019-04-01,35
 2019-05-01,35
 2019-06-01,34
 2019-07-01,35
 2019-08-01,36
 2019-09-01,54
 2019-10-01,46
 2019-11-01,44
 2019-12-01,43
 2020-01-01,37
 2020-02-01,36
 2020-03-01,32
 2020-04-01,41
 2020-05-01,38
 2020-06-01,35
 2020-07-01,37
 2020-08-01,37
 2020-09-01,42
 2020-10-01,50
 2020-11-01,51
 2020-12-01,46
 2021-01-01,39
 2021-02-01,34
 2021-03-01,33
 2021-04-01,32
 2021-05-01,33
 2021-06-01,32
 2021-07-01,33
 2021-08-01,33
 2021-09-01,45
 2021-10-01,40
 2021-11-01,40
 2021-12-01,46
 2022-01-01,38
 2022-02-01,35
 2022-03-01,35
 2022-04-01,32
 2022-05-01,32
 2022-06-01,34
 2022-07-01,36
 2022-08-01,37
 2022-09-01,50
 2022-10-01,41
 2022-11-01,40
 2022-12-01,40
 2023-01-01,34
 2023-02-01,34
 2023-03-01,33
 2023-04-01,32
 2023-05-01,32
 2023-06-01,33
 2023-07-01,35
 2023-08-01,34
 2023-09-01,50
 2023-10-01,37
 2023-11-01,39
 2023-12-01,39
 2024-01-01,34
 2024-02-01,34
 2024-03-01,34
